camada,dominio,modelo,arquivo,schema_atual,padrao_nome,prioridade
silver,conjuntura,silver_abecip_novos_financiamentos_imobiliarios,conjuntura_dbt/silver/silver_abecip_novos_financiamentos_imobiliarios.sql,conjuntura_silver,aderente_prefixo_silver,P1
silver,conjuntura,silver_abecip_poupanca_sbpe,conjuntura_dbt/silver/silver_abecip_poupanca_sbpe.sql,conjuntura_silver,aderente_prefixo_silver,P1
silver,conjuntura,silver_abecip_sbpe_financiamentos_habitacionais,conjuntura_dbt/silver/silver_abecip_sbpe_financiamentos_habitacionais.sql,conjuntura_silver,aderente_prefixo_silver,P1
silver,conjuntura,silver_abramat_indice,conjuntura_dbt/silver/silver_abramat_indice.sql,conjuntura_silver,aderente_prefixo_silver,P1
silver,conjuntura,silver_bacen_financiamentos_imobiliarios,conjuntura_dbt/silver/silver_bacen_financiamentos_imobiliarios.sql,conjuntura_silver,aderente_prefixo_silver,P1
silver,conjuntura,silver_balancos_empresas,conjuntura_dbt/silver/silver_balancos_empresas.sql,conjuntura_silver,aderente_prefixo_silver,P1
silver,conjuntura,silver_cbic_lancamentos_vendas,conjuntura_dbt/silver/silver_cbic_lancamentos_vendas.sql,conjuntura_silver,aderente_prefixo_silver,P1
silver,conjuntura,silver_fgts_financiamentos_habitacionais,conjuntura_dbt/silver/silver_fgts_financiamentos_habitacionais.sql,conjuntura_silver,aderente_prefixo_silver,P1
silver,conjuntura,silver_fgv_icst,conjuntura_dbt/silver/silver_fgv_icst.sql,conjuntura_silver,aderente_prefixo_silver,P1
silver,conjuntura,silver_fgv_incc_m,conjuntura_dbt/silver/silver_fgv_incc_m.sql,conjuntura_silver,aderente_prefixo_silver,P1
silver,conjuntura,silver_financiamentos_habitacionais,conjuntura_dbt/silver/silver_financiamentos_habitacionais.sql,conjuntura_silver,aderente_prefixo_silver,P1
silver,conjuntura,silver_fipezap_locacao,conjuntura_dbt/silver/silver_fipezap_locacao.sql,conjuntura_silver,aderente_prefixo_silver,P1
silver,conjuntura,silver_ibge_pib_construcao_civil,conjuntura_dbt/silver/silver_ibge_pib_construcao_civil.sql,conjuntura_silver,aderente_prefixo_silver,P1
silver,conjuntura,silver_ibge_pnadc_ocupados_construcao,conjuntura_dbt/silver/silver_ibge_pnadc_ocupados_construcao.sql,conjuntura_silver,aderente_prefixo_silver,P1
silver,conjuntura,silver_ibge_pnadc_rendimento_construcao,conjuntura_dbt/silver/silver_ibge_pnadc_rendimento_construcao.sql,conjuntura_silver,aderente_prefixo_silver,P1
silver,conjuntura,silver_ibge_sinapi,conjuntura_dbt/silver/silver_ibge_sinapi.sql,conjuntura_silver,aderente_prefixo_silver,P1
